Noise,Label
3006,1
2699,1
1661,1
17547,1
1919,1
6122,1
108,1
2586,1
8709,1
7168,1
2587,1
2116,1
16761,1
2603,1
5497,1
2800,1
4808,1
33816,1
2488,1
6369,1
3036,1
7099,1
4214,1
33440,1
3939,1
15345,1
7909,1
6021,1
3777,1
1121,1
2236,1
1212,1
2335,1
4615,1
4071,1
48435,1
6748,1
2319,1
1237,1
2034,1
4325,1
1026,1
6009,1
3558,1
5479,1
6674,1
2287,1
17320,1
12353,1
17980,1
17429,1
5536,1
4447,1
6666,1
3418,1
2057,1
3237,1
3223,1
2460,1
5062,1
1489,1
10551,1
2989,1
21056,1
15828,1
3992,1
10639,1
4013,1
2964,1
4054,1
1869,1
15170,1
2815,1
3693,1
3362,1
4738,1
10720,1
7493,1
39581,1
1270,1
2640,1
2799,1
3952,1
6092,1
5324,1
2466,1
827,1
7005,1
6355,1
7913,1
5492,1
30522,1
2005,1
46944,1
4821,1
16697,1
4031,1
1475,1
828,1
2291,1
29422,1
3770,1
20132,1
4346,1
12332,1
1421,1
1406,1
5262,1
23206,1
940,1
3909,1
2572,1
3418,1
3533,1
27682,1
21702,1
1663,1
1196,1
2888,1
6775,1
4546,1
3310,1
4322,1
2692,1
1814,1
4985,1
2017,1
1140,1
5887,1
3827,1
3558,1
2945,1
3404,1
4661,1
2311,1
1310,1
2053,1
2988,1
1753,1
3999,1
3686,1
4272,1
5631,1
